YEAR,quarter,distillate_fuel,heating_retail
2001,Q1-01,12.2,1.46
2001,Q2-01,5.14,1.35
2001,Q3-01,1.36,1.26
2001,Q4-01,-4.71,1.17
2002,Q1-02,-10.01,1.12
2002,Q2-02,-1.35,1.15
2002,Q3-02,1.06,1.15
2002,Q4-02,3.84,1.24
2003,Q1-03,10.85,1.58
2003,Q2-03,2.62,1.4
2003,Q3-03,1.44,1.28
2003,Q4-03,1.2,1.33
2004,Q1-04,0.53,1.53
2004,Q2-04,4.32,1.53
2004,Q3-04,4.2,1.61
2004,Q4-04,4.49,1.91
2005,Q1-05,0.48,1.96
2005,Q2-05,2.59,2.07
2005,Q3-05,1.79,2.36
2005,Q4-05,1.15,2.48
2006,Q1-06,0.63,2.42
2006,Q2-06,-0.15,2.55
2006,Q3-06,2.22,2.59
2006,Q4-06,2.27,2.41
2007,Q1-07,2.28,2.43
2007,Q2-07,1.95,2.56
2007,Q3-07,0.65,2.65
2007,Q4-07,-2.21,3.13
2008,Q1-08,-3.98,3.44
2008,Q2-08,-4.8,4.15
2008,Q3-08,-10.1,4.24
2008,Q4-08,-5.16,2.96
2009,Q1-09,-7.45,2.44
2009,Q2-09,-11.83,2.37
2009,Q3-09,-6.38,2.52
2009,Q4-09,-6.12,2.74
2010,Q1-10,-2.61,2.93
2010,Q2-10,7.06,2.92
2010,Q3-10,8.46,2.82
2010,Q4-10,6.38,3.1
2011,Q1-11,4.73,3.58
2011,Q2-11,2.34,3.93
2011,Q3-11,2.22,3.67
2011,Q4-11,1.17,3.66
2012,Q1-12,-3.6,3.78
2012,Q2-12,-1.66,3.74
2012,Q3-12,-4.62,3.67
2012,Q4-12,-6.16,3.85
2013,Q1-13,2.77,3.89
2013,Q2-13,0.51,3.65
2013,Q3-13,0.58,3.66
2013,Q4-13,5.3,3.73
2014,Q1-14,6.42,3.97
2014,Q2-14,5.12,3.82
2014,Q3-14,5.76,3.69
2014,Q4-14,4.64,3.3
2015,Q1-15,1.79,2.88
2015,Q2-15,-1.23,2.76
2015,Q3-15,1.73,2.47
2015,Q4-15,-6.3,2.24
2016,Q1-16,-7.86,1.95
2016,Q2-16,-2.7,2.05
2016,Q3-16,-4.12,2.11
2016,Q4-16,3.28,2.33
2017,Q1-17,0.07,2.47
2017,Q2-17,2.65,2.38
2017,Q3-17,1.57,2.34
2017,Q4-17,1.43,2.65
2018,Q1-18,7.58,2.87
2018,Q2-18,5.37,2.98
2018,Q3-18,5.34,3.25
2018,Q4-18,3.54,3.16
2019,Q1-19,0.98,3
2019,Q2-19,-0.71,3.05
2019,Q3-19,-2.62,2.9
2019,Q4-19,-1.75,3.01
2020,Q1-20,-5.89,2.8
2020,Q2-20,-14.37,2
2020,Q3-20,-6.49,2.14
2020,Q4-20,-4.41,2.3
2021,Q1-21,-1.21,2.72
2021,Q2-21,12.73,2.83
2021,Q3-21,5.43,3.02
2021,Q4-21,5.17,3.42
2022,Q1-22,5.1,3.38
2022,Q2-22,3.07,3.09
2022,Q3-22,3.11,2.86
2022,Q4-22,0.87,2.87
